t,phi,R,N,Zmean,vZ_mean
0.124,27,8.50, 7295.0,0.139,-6.3912e-01
0.124,27,9.50, 5996.0,0.173,-5.3120e-01
0.124,27,10.50, 4966.0,0.219,-1.1215e-01
0.124,27,11.50, 3752.0,0.259,3.4586e-01
0.124,27,12.50, 3050.0,0.278,5.8083e-01
0.124,27,13.50, 2491.0,0.286,9.5413e-01
0.124,27,14.50, 1840.0,0.262,1.7073e+00
0.124,27,15.50, 1357.0,0.217,1.3915e+00
0.124,28,5.50, 13297.0,0.027,-9.1958e-01
0.124,28,6.50, 11605.0,0.067,-1.5245e+00
0.124,28,7.50, 9139.0,0.098,-7.7509e-01
0.124,28,8.50, 7150.0,0.133,-9.8922e-01
0.124,28,9.50, 5619.0,0.155,-1.0955e+00
0.124,28,10.50, 4715.0,0.179,-9.0513e-01
0.124,28,11.50, 3865.0,0.205,-2.8273e-01
0.124,28,12.50, 3045.0,0.215,5.0041e-01
0.124,28,13.50, 2300.0,0.211,5.7146e-01
0.124,28,14.50, 1759.0,0.188,5.9748e-01
0.124,28,15.50, 1385.0,0.173,6.6816e-01
0.124,29,5.50, 14307.0,0.031,-1.5473e+00
0.124,29,6.50, 11754.0,0.061,-1.7883e+00
0.124,29,7.50, 8279.0,0.084,-1.4244e+00
0.124,29,8.50, 6947.0,0.108,-1.2440e+00
0.124,29,9.50, 5644.0,0.130,-1.0320e+00
0.124,29,10.50, 4720.0,0.143,-9.5691e-01
0.124,29,11.50, 3909.0,0.157,-5.5680e-01
0.124,29,12.50, 2909.0,0.163,-4.2809e-01
0.124,29,13.50, 2316.0,0.143,6.7469e-02
0.124,29,14.50, 1777.0,0.115,3.2656e-01
0.124,29,15.50, 1394.0,0.065,2.9832e-01
0.124,30,5.50, 14292.0,0.020,-1.4518e+00
0.124,30,6.50, 10980.0,0.050,-1.9425e+00
0.124,30,7.50, 8550.0,0.075,-1.8332e+00
0.124,30,8.50, 7537.0,0.090,-1.1637e+00
0.124,30,9.50, 5883.0,0.109,-8.5601e-01
0.124,30,10.50, 4826.0,0.110,-8.1655e-01
0.124,30,11.50, 3710.0,0.119,-9.8363e-01
0.124,30,12.50, 2818.0,0.109,-1.0459e-01
0.124,30,13.50, 2491.0,0.079,2.9415e-02
0.124,30,14.50, 1822.0,0.063,1.0801e-01
0.124,30,15.50, 1453.0,0.043,6.5650e-01
0.124,31,5.50, 13941.0,0.020,-1.4132e+00
0.124,31,6.50, 10356.0,0.042,-1.7653e+00
0.124,31,7.50, 8842.0,0.056,-1.5826e+00
0.124,31,8.50, 7355.0,0.071,-1.4120e+00
0.124,31,9.50, 5872.0,0.083,-9.4431e-01
0.124,31,10.50, 4914.0,0.092,-5.9366e-01
0.124,31,11.50, 3767.0,0.074,-6.6175e-01
0.124,31,12.50, 3201.0,0.065,-1.6146e-01
0.124,31,13.50, 2464.0,0.041,5.6199e-01
0.124,31,14.50, 1961.0,0.019,6.2442e-01
0.124,31,15.50, 1567.0,-0.015,1.6670e-01
0.124,32,5.50, 13652.0,0.026,-1.2919e+00
0.124,32,6.50, 10496.0,0.043,-1.5051e+00
0.124,32,7.50, 9331.0,0.050,-1.4753e+00
0.124,32,8.50, 7127.0,0.057,-1.2904e+00
0.124,32,9.50, 5973.0,0.053,-9.9754e-01
0.124,32,10.50, 4623.0,0.058,-5.6109e-01
0.124,32,11.50, 3731.0,0.058,-5.2647e-01
0.124,32,12.50, 3207.0,0.060,5.1064e-01
0.124,32,13.50, 2598.0,0.008,3.7333e-01
0.124,32,14.50, 1969.0,-0.016,4.1010e-01
0.124,32,15.50, 1644.0,-0.039,2.6832e-01
0.124,33,5.50, 13101.0,0.023,-1.0893e+00
0.124,33,6.50, 10684.0,0.037,-2.0396e+00
0.124,33,7.50, 9309.0,0.041,-1.0517e+00
0.124,33,8.50, 7008.0,0.031,-9.5701e-01
0.124,33,9.50, 5882.0,0.040,-5.0742e-01
0.124,33,10.50, 4741.0,0.039,-5.3746e-01
0.124,33,11.50, 3844.0,0.025,1.1612e-01
0.124,33,12.50, 3027.0,0.015,-1.2716e-02
0.124,33,13.50, 2496.0,-0.011,2.7505e-01
0.124,33,14.50, 2190.0,-0.047,-1.5032e-02
0.124,33,15.50, 1610.0,-0.057,6.4280e-02
0.124,34,5.50, 12110.0,0.015,-1.2552e+00
0.124,34,6.50, 10947.0,0.022,-1.2557e+00
0.124,34,7.50, 8373.0,0.031,-1.1557e+00
0.124,34,8.50, 7253.0,0.021,-6.4968e-01
0.124,34,9.50, 5654.0,0.026,-3.8691e-01
0.124,34,10.50, 4762.0,0.014,-2.4415e-01
0.124,34,11.50, 4091.0,0.011,-5.2875e-01
0.124,34,12.50, 3337.0,-0.020,-2.4054e-01
0.124,34,13.50, 2494.0,-0.045,-7.9316e-02
0.124,34,14.50, 2107.0,-0.053,2.0574e-02
0.124,34,15.50, 1753.0,-0.098,-4.1896e-01
0.124,35,5.50, 12349.0,0.013,-8.1702e-01
0.124,35,6.50, 10754.0,0.015,-1.3416e+00
0.124,35,7.50, 8918.0,0.016,-1.1347e+00
0.124,35,8.50, 7012.0,0.014,-4.8983e-01
0.124,35,9.50, 5926.0,0.015,-5.0322e-01
0.124,35,10.50, 4705.0,0.004,-1.6443e-01
0.124,35,11.50, 4096.0,-0.006,-3.5682e-01
0.124,35,12.50, 3281.0,-0.027,4.2753e-01
0.124,35,13.50, 2732.0,-0.055,4.2247e-01
0.124,35,14.50, 2308.0,-0.082,-9.5671e-02
0.124,35,15.50, 1654.0,-0.124,1.1199e-01
0.133,0,5.50, 12562.0,0.005,-6.2654e-01
0.133,0,6.50, 10691.0,0.007,-1.1076e+00
0.133,0,7.50, 8391.0,0.020,-5.2965e-01
0.133,0,8.50, 7135.0,0.025,5.0058e-01
0.133,0,9.50, 5781.0,0.012,8.4978e-01
0.133,0,10.50, 4730.0,0.013,7.7175e-01
0.133,0,11.50, 4093.0,-0.008,6.7267e-01
0.133,0,12.50, 3381.0,-0.010,1.2837e+00
0.133,0,13.50, 2760.0,-0.045,1.4943e+00
0.133,0,14.50, 2349.0,-0.072,1.2999e+00
0.133,0,15.50, 1674.0,-0.117,1.4011e+00
0.133,1,5.50, 12007.0,0.002,-6.6292e-01
0.133,1,6.50, 10691.0,0.003,-9.9705e-01
0.133,1,7.50, 8994.0,0.005,-2.8550e-01
0.133,1,8.50, 7440.0,0.011,4.1857e-01
0.133,1,9.50, 5980.0,0.010,6.1377e-01
0.133,1,10.50, 5084.0,-0.004,9.1720e-01
0.133,1,11.50, 4270.0,-0.006,1.2188e+00
0.133,1,12.50, 3309.0,-0.029,1.8628e+00
0.133,1,13.50, 2698.0,-0.067,1.7383e+00
0.133,1,14.50, 2282.0,-0.093,1.5884e+00
0.133,1,15.50, 1770.0,-0.140,1.1455e+00
0.133,2,5.50, 12963.0,-0.003,-7.3214e-01
0.133,2,6.50, 11303.0,-0.004,-8.1676e-01
0.133,2,7.50, 8915.0,0.002,-1.3852e-01
0.133,2,8.50, 7502.0,0.014,4.2534e-01
0.133,2,9.50, 5907.0,0.003,6.2185e-01
0.133,2,10.50, 5326.0,-0.021,1.1361e+00
0.133,2,11.50, 4109.0,-0.036,1.1781e+00
0.133,2,12.50, 3581.0,-0.061,1.3748e+00
0.133,2,13.50, 2923.0,-0.084,1.1913e+00
0.133,2,14.50, 2179.0,-0.124,1.2839e+00
0.133,2,15.50, 1641.0,-0.151,8.8477e-01
0.133,3,5.50, 13430.0,-0.002,-4.6378e-01
0.133,3,6.50, 11288.0,-0.015,-2.1372e-02
0.133,3,7.50, 8687.0,-0.005,4.2801e-01
0.133,3,8.50, 7440.0,-0.009,6.8787e-01
0.133,3,9.50, 6658.0,-0.027,8.9534e-01
0.133,3,10.50, 5340.0,-0.030,1.3608e+00
0.133,3,11.50, 4362.0,-0.043,1.5055e+00
0.133,3,12.50, 3383.0,-0.067,6.8751e-01
0.133,3,13.50, 2686.0,-0.109,1.5050e+00
0.133,3,14.50, 2181.0,-0.134,1.0436e+00
0.133,3,15.50, 1735.0,-0.159,5.5824e-01
0.133,4,5.50, 13990.0,-0.005,1.5516e-02
0.133,4,6.50, 11489.0,-0.016,2.6785e-01
0.133,4,7.50, 9192.0,-0.020,5.3272e-01
0.133,4,8.50, 8205.0,-0.032,8.0914e-01
0.133,4,9.50, 6404.0,-0.029,1.0295e+00
0.133,4,10.50, 5478.0,-0.035,1.1945e+00
0.133,4,11.50, 4287.0,-0.072,1.0009e+00
0.133,4,12.50, 3174.0,-0.085,1.0368e+00
0.133,4,13.50, 2642.0,-0.124,9.5843e-01
0.133,4,14.50, 2213.0,-0.155,9.7833e-01
0.133,4,15.50, 1679.0,-0.197,4.5630e-01
0.133,5,5.50, 14265.0,-0.012,1.8691e-01
0.133,5,6.50, 11623.0,-0.023,6.3104e-01
0.133,5,7.50, 10070.0,-0.031,8.5671e-01
0.133,5,8.50, 7979.0,-0.035,1.2700e+00
0.133,5,9.50, 6459.0,-0.033,1.4770e+00
0.133,5,10.50, 5231.0,-0.051,1.2277e+00
0.133,5,11.50, 4050.0,-0.068,1.4497e+00
0.133,5,12.50, 3316.0,-0.096,1.0785e+00
0.133,5,13.50, 2721.0,-0.137,7.0490e-01
0.133,5,14.50, 2162.0,-0.159,1.0612e+00
0.133,5,15.50, 1747.0,-0.183,8.8102e-01
0.133,6,5.50, 14103.0,-0.017,1.0002e+00
0.133,6,6.50, 11264.0,-0.021,1.0960e+00
0.133,6,7.50, 9420.0,-0.042,7.2946e-01
0.133,6,8.50, 7783.0,-0.045,1.1538e+00
0.133,6,9.50, 6424.0,-0.068,1.0105e+00
0.133,6,10.50, 5006.0,-0.073,1.2801e+00
0.133,6,11.50, 4105.0,-0.102,1.5906e+00
0.133,6,12.50, 3313.0,-0.111,1.3964e+00
0.133,6,13.50, 2797.0,-0.142,1.0115e+00
0.133,6,14.50, 2145.0,-0.171,7.8761e-01
0.133,6,15.50, 1718.0,-0.203,4.0884e-01
0.133,7,5.50, 13531.0,-0.013,6.9682e-01
0.133,7,6.50, 11108.0,-0.028,8.6888e-01
0.133,7,7.50, 9588.0,-0.046,8.5741e-01
0.133,7,8.50, 7535.0,-0.055,6.7247e-01
0.133,7,9.50, 5950.0,-0.071,1.0603e+00
0.133,7,10.50, 4994.0,-0.073,1.2755e+00
0.133,7,11.50, 4184.0,-0.094,1.2461e+00
0.133,7,12.50, 3289.0,-0.127,1.3309e+00
0.133,7,13.50, 2677.0,-0.155,9.7884e-01
0.133,7,14.50, 2177.0,-0.156,6.2812e-01
0.133,7,15.50, 1662.0,-0.182,5.0746e-01
0.133,8,5.50, 13301.0,-0.023,9.8717e-01
0.133,8,6.50, 11354.0,-0.039,9.9128e-01
0.133,8,7.50, 9594.0,-0.054,4.7640e-01
0.133,8,8.50, 7264.0,-0.058,8.3647e-01
0.133,8,9.50, 6368.0,-0.061,9.6827e-01
0.133,8,10.50, 4809.0,-0.065,1.4221e+00
0.133,8,11.50, 4009.0,-0.090,1.5248e+00
0.133,8,12.50, 3186.0,-0.127,1.3499e+00
0.133,8,13.50, 2636.0,-0.153,1.0229e+00
0.133,8,14.50, 2192.0,-0.155,1.1837e+00
0.133,8,15.50, 1621.0,-0.180,4.8966e-01
0.133,9,5.50, 13641.0,-0.026,8.9480e-01
0.133,9,6.50, 11593.0,-0.039,5.3947e-01
0.133,9,7.50, 9245.0,-0.042,9.5681e-01
0.133,9,8.50, 7728.0,-0.055,1.2980e+00
0.133,9,9.50, 6051.0,-0.060,1.1157e+00
0.133,9,10.50, 4897.0,-0.071,1.0302e+00
0.133,9,11.50, 4250.0,-0.091,1.0400e+00
0.133,9,12.50, 3232.0,-0.105,1.6383e+00
0.133,9,13.50, 2511.0,-0.136,1.1964e+00
0.133,9,14.50, 1925.0,-0.157,1.1026e+00
0.133,9,15.50, 1610.0,-0.167,2.1660e-01
0.133,10,5.50, 13584.0,-0.028,1.0413e+00
0.133,10,6.50, 11430.0,-0.040,8.3884e-01
0.133,10,7.50, 8792.0,-0.051,9.6737e-01
0.133,10,8.50, 7517.0,-0.058,1.1516e+00
0.133,10,9.50, 5988.0,-0.063,4.9121e-01
0.133,10,10.50, 5292.0,-0.091,6.5410e-01
0.133,10,11.50, 3867.0,-0.102,1.2532e+00
0.133,10,12.50, 3100.0,-0.116,1.3902e+00
0.133,10,13.50, 2500.0,-0.137,1.0681e+00
0.133,10,14.50, 2070.0,-0.169,6.0030e-01
0.133,10,15.50, 1546.0,-0.164,5.7200e-01
0.133,11,5.50, 14159.0,-0.020,8.6495e-01
0.133,11,6.50, 11353.0,-0.037,7.8195e-01
0.133,11,7.50, 9579.0,-0.045,6.5123e-01
0.133,11,8.50, 7243.0,-0.059,6.6021e-01
0.133,11,9.50, 6269.0,-0.065,6.9521e-01
0.133,11,10.50, 4671.0,-0.075,1.1084e+00
0.133,11,11.50, 3600.0,-0.109,1.4911e+00
0.133,11,12.50, 3180.0,-0.139,8.3457e-01
0.133,11,13.50, 2497.0,-0.164,5.6117e-01
0.133,11,14.50, 1794.0,-0.178,3.9728e-01
0.133,11,15.50, 1441.0,-0.201,-2.4409e-02
0.133,12,5.50, 13716.0,-0.024,1.2650e+00
0.133,12,6.50, 11321.0,-0.037,1.1426e+00
0.133,12,7.50, 8637.0,-0.047,1.0975e+00
0.133,12,8.50, 7343.0,-0.056,9.9509e-01
0.133,12,9.50, 6076.0,-0.066,8.8387e-01
0.133,12,10.50, 4687.0,-0.083,1.1264e+00
0.133,12,11.50, 3799.0,-0.118,1.1427e+00
0.133,12,12.50, 3086.0,-0.148,5.2944e-01
0.133,12,13.50, 2324.0,-0.158,2.6202e-01
0.133,12,14.50, 1876.0,-0.162,1.9856e-01
0.133,12,15.50, 1469.0,-0.176,2.1651e-01
0.133,13,5.50, 13253.0,-0.022,1.5487e+00
0.133,13,6.50, 10907.0,-0.038,1.0538e+00
0.133,13,7.50, 8314.0,-0.047,8.6878e-01
0.133,13,8.50, 7211.0,-0.054,6.3867e-01
0.133,13,9.50, 5902.0,-0.076,5.9595e-01
0.133,13,10.50, 4716.0,-0.102,1.1280e+00
0.133,13,11.50, 3925.0,-0.130,1.0349e+00
0.133,13,12.50, 2889.0,-0.134,3.9677e-01
0.133,13,13.50, 2300.0,-0.147,-1.5818e-01
0.133,13,14.50, 1896.0,-0.140,-3.6187e-01
0.133,13,15.50, 1468.0,-0.167,-6.1339e-01
0.133,14,5.50, 13086.0,-0.026,1.3336e+00
0.133,14,6.50, 10723.0,-0.034,8.9580e-01
0.133,14,7.50, 8868.0,-0.045,5.3149e-01
0.133,14,8.50, 7559.0,-0.064,2.0001e-01
0.133,14,9.50, 5583.0,-0.079,8.4850e-01
0.133,14,10.50, 4658.0,-0.103,8.1964e-01
0.133,14,11.50, 3652.0,-0.108,1.0092e-02
0.133,14,12.50, 3061.0,-0.127,-3.6652e-01
0.133,14,13.50, 2293.0,-0.149,-1.1942e+00
0.133,14,14.50, 1841.0,-0.140,-9.2054e-01
0.133,14,15.50, 1381.0,-0.159,-9.9149e-01
0.133,15,5.50, 13371.0,-0.019,7.1253e-01
0.133,15,6.50, 10967.0,-0.032,1.4995e-01
0.133,15,7.50, 9428.0,-0.041,3.9586e-01
0.133,15,8.50, 7404.0,-0.050,2.4146e-01
0.133,15,9.50, 5343.0,-0.080,4.5975e-01
0.133,15,10.50, 4422.0,-0.106,-2.7060e-01
0.133,15,11.50, 3860.0,-0.115,-5.4036e-01
0.133,15,12.50, 3105.0,-0.136,-1.8087e+00
0.133,15,13.50, 2296.0,-0.143,-1.6777e+00
0.133,15,14.50, 1812.0,-0.141,-2.0158e+00
0.133,15,15.50, 1426.0,-0.169,-2.0434e+00
0.133,16,5.50, 13583.0,-0.022,2.9171e-01
0.133,16,6.50, 11060.0,-0.035,-2.8252e-02
0.133,16,7.50, 9075.0,-0.035,-8.8683e-02
0.133,16,8.50, 7020.0,-0.061,2.9351e-02
0.133,16,9.50, 5414.0,-0.087,-4.9442e-01
0.133,16,10.50, 4782.0,-0.111,-1.4659e+00
0.133,16,11.50, 3654.0,-0.121,-2.0458e+00
0.133,16,12.50, 2962.0,-0.122,-2.8849e+00
0.133,16,13.50, 2362.0,-0.144,-3.6286e+00
0.133,16,14.50, 1845.0,-0.156,-3.5713e+00
0.133,16,15.50, 1436.0,-0.172,-3.7833e+00
0.133,17,5.50, 13755.0,-0.019,6.5418e-01
0.133,17,6.50, 11351.0,-0.032,-2.3126e-01
0.133,17,7.50, 8757.0,-0.042,-3.9959e-01
0.133,17,8.50, 6718.0,-0.069,-7.7932e-01
0.133,17,9.50, 5908.0,-0.097,-8.6313e-01
0.133,17,10.50, 4714.0,-0.115,-2.1174e+00
0.133,17,11.50, 3766.0,-0.134,-3.8367e+00
0.133,17,12.50, 3205.0,-0.147,-4.6707e+00
0.133,17,13.50, 2367.0,-0.166,-5.2132e+00
0.133,17,14.50, 1927.0,-0.171,-6.1317e+00
0.133,17,15.50, 1416.0,-0.180,-5.9340e+00
0.133,18,5.50, 13471.0,-0.020,1.7668e-01
0.133,18,6.50, 11033.0,-0.031,-5.7135e-02
0.133,18,7.50, 8168.0,-0.043,-7.0020e-01
0.133,18,8.50, 6932.0,-0.068,-1.0918e+00
0.133,18,9.50, 6162.0,-0.091,-1.9568e+00
0.133,18,10.50, 4746.0,-0.132,-3.6780e+00
0.133,18,11.50, 3849.0,-0.148,-5.4750e+00
0.133,18,12.50, 3083.0,-0.162,-6.4089e+00
0.133,18,13.50, 2563.0,-0.191,-7.6495e+00
0.133,18,14.50, 1819.0,-0.196,-8.7768e+00
0.133,18,15.50, 1602.0,-0.223,-9.7852e+00
0.133,19,5.50, 13587.0,-0.031,1.2390e-02
0.133,19,6.50, 10653.0,-0.038,-7.1030e-01
0.133,19,7.50, 8060.0,-0.046,-9.6045e-01
0.133,19,8.50, 7674.0,-0.068,-1.2335e+00
0.133,19,9.50, 6123.0,-0.106,-3.0003e+00
0.133,19,10.50, 4817.0,-0.124,-4.4090e+00
0.133,19,11.50, 4081.0,-0.148,-6.4101e+00
0.133,19,12.50, 3478.0,-0.177,-7.8937e+00
0.133,19,13.50, 2700.0,-0.215,-1.0116e+01
0.133,19,14.50, 2212.0,-0.255,-1.1629e+01
0.133,19,15.50, 1715.0,-0.305,-1.3955e+01
0.133,20,5.50, 13270.0,-0.021,-6.3464e-01
0.133,20,6.50, 9976.0,-0.030,-8.5598e-01
0.133,20,7.50, 8822.0,-0.048,-1.2145e+00
0.133,20,8.50, 7826.0,-0.064,-1.9042e+00
0.133,20,9.50, 6050.0,-0.104,-3.1466e+00
0.133,20,10.50, 5383.0,-0.122,-5.0348e+00
0.133,20,11.50, 4397.0,-0.135,-6.5087e+00
0.133,20,12.50, 3470.0,-0.163,-8.1880e+00
0.133,20,13.50, 2784.0,-0.195,-1.0252e+01
0.133,20,14.50, 2408.0,-0.238,-1.2663e+01
0.133,20,15.50, 1939.0,-0.305,-1.5811e+01
0.133,21,5.50, 12962.0,-0.021,-6.1236e-01
0.133,21,6.50, 10639.0,-0.023,-8.8207e-01
0.133,21,7.50, 9412.0,-0.033,-1.0760e+00
0.133,21,8.50, 7634.0,-0.057,-1.6418e+00
0.133,21,9.50, 6245.0,-0.071,-2.8414e+00
0.133,21,10.50, 5157.0,-0.087,-4.6233e+00
0.133,21,11.50, 4398.0,-0.081,-5.9029e+00
0.133,21,12.50, 3646.0,-0.077,-6.9994e+00
0.133,21,13.50, 3151.0,-0.071,-7.8251e+00
0.133,21,14.50, 2628.0,-0.030,-8.4084e+00
0.133,21,15.50, 2564.0,0.094,-7.2294e+00
0.133,22,5.50, 13183.0,-0.016,-7.1019e-01
0.133,22,6.50, 11517.0,-0.019,-4.8387e-01
0.133,22,7.50, 9428.0,-0.012,-9.5726e-01
0.133,22,8.50, 7501.0,-0.026,-1.1079e+00
0.133,22,9.50, 6425.0,-0.033,-2.4296e+00
0.133,22,10.50, 5636.0,-0.022,-3.5624e+00
0.133,22,11.50, 4633.0,0.020,-3.9135e+00
0.133,22,12.50, 3802.0,0.090,-3.6680e+00
0.133,22,13.50, 3251.0,0.229,-2.5438e+00
0.133,22,14.50, 2859.0,0.448,3.7376e-01
0.133,22,15.50, 2689.0,0.808,5.3693e+00
0.133,23,5.50, 14831.0,-0.016,-6.6196e-01
0.133,23,6.50, 11924.0,-0.006,-5.6353e-01
0.133,23,7.50, 9225.0,0.001,-7.8192e-01
0.133,23,8.50, 8028.0,0.001,-1.2488e+00
0.133,23,9.50, 6648.0,0.013,-1.8657e+00
0.133,23,10.50, 5712.0,0.066,-1.7995e+00
0.133,23,11.50, 4549.0,0.150,-1.9553e+00
0.133,23,12.50, 3811.0,0.295,-7.2942e-01
0.133,23,13.50, 3172.0,0.493,1.7236e+00
0.133,23,14.50, 2509.0,0.732,4.7403e+00
0.133,23,15.50, 1642.0,0.962,7.4019e+00
0.133,24,5.50, 14178.0,-0.005,-7.4737e-01
0.133,24,6.50, 11848.0,-0.004,-6.9693e-01
0.133,24,7.50, 9417.0,0.012,-1.0811e+00
0.133,24,8.50, 8152.0,0.035,-9.4956e-01
0.133,24,9.50, 6595.0,0.083,-9.1154e-01
0.133,24,10.50, 5431.0,0.167,-9.2073e-01
0.133,24,11.50, 4513.0,0.283,-1.4729e-01
0.133,24,12.50, 3588.0,0.427,1.4888e+00
0.133,24,13.50, 2782.0,0.599,2.9982e+00
0.133,24,14.50, 1954.0,0.750,4.8066e+00
0.133,24,15.50, 1394.0,0.800,5.9491e+00
0.133,25,5.50, 14056.0,-0.001,-5.1774e-01
0.133,25,6.50, 11342.0,0.003,-1.1421e+00
0.133,25,7.50, 9650.0,0.031,-1.1406e+00
0.133,25,8.50, 8078.0,0.066,-6.0131e-01
0.133,25,9.50, 6398.0,0.131,-5.4070e-01
0.133,25,10.50, 5086.0,0.232,1.7039e-01
0.133,25,11.50, 4121.0,0.342,5.9742e-01
0.133,25,12.50, 3279.0,0.470,1.7764e+00
0.133,25,13.50, 2385.0,0.566,2.5796e+00
0.133,25,14.50, 1775.0,0.636,3.5199e+00
0.133,25,15.50, 1387.0,0.627,4.4108e+00
0.133,26,5.50, 14016.0,0.000,-1.2853e+00
0.133,26,6.50, 11359.0,0.013,-1.3922e+00
0.133,26,7.50, 9715.0,0.056,-9.8896e-01
0.133,26,8.50, 7808.0,0.095,-9.5331e-01
0.133,26,9.50, 6008.0,0.173,-6.7085e-01
0.133,26,10.50, 4741.0,0.257,-2.4544e-01
0.133,26,11.50, 3925.0,0.351,5.8588e-01
0.133,26,12.50, 3019.0,0.422,1.2868e+00
0.133,26,13.50, 2208.0,0.481,2.0611e+00
0.133,26,14.50, 1773.0,0.476,2.8698e+00
0.133,26,15.50, 1319.0,0.459,3.0129e+00
0.133,27,5.50, 13816.0,0.005,-5.4695e-01
0.133,27,6.50, 10856.0,0.023,-1.0695e+00
0.133,27,7.50, 9587.0,0.068,-1.0121e+00
0.133,27,8.50, 7362.0,0.125,-5.0611e-01
0.133,27,9.50, 5971.0,0.194,-1.1705e+00
0.133,27,10.50, 4640.0,0.262,-2.9799e-01
0.133,27,11.50, 3877.0,0.333,1.2406e-01
0.133,27,12.50, 2912.0,0.360,6.8811e-01
0.133,27,13.50, 2261.0,0.371,1.3226e+00
0.133,27,14.50, 1704.0,0.363,2.0194e+00
0.133,27,15.50, 1452.0,0.315,2.4187e+00
0.133,28,5.50, 13391.0,0.012,-4.1662e-01
0.133,28,6.50, 11093.0,0.033,-1.5175e+00
0.133,28,7.50, 9154.0,0.086,-1.6086e+00
0.133,28,8.50, 7033.0,0.134,-1.1258e+00
0.133,28,9.50, 5871.0,0.180,-1.1965e+00
0.133,28,10.50, 5023.0,0.231,-7.1624e-01
0.133,28,11.50, 3607.0,0.264,-3.1065e-01
0.133,28,12.50, 2915.0,0.293,9.8434e-02
0.133,28,13.50, 2411.0,0.302,4.2489e-01
0.133,28,14.50, 1777.0,0.284,1.4549e+00
0.133,28,15.50, 1328.0,0.226,1.4582e+00
0.133,29,5.50, 13167.0,0.016,-6.3553e-01
0.133,29,6.50, 11410.0,0.054,-1.2942e+00
0.133,29,7.50, 8998.0,0.097,-9.4835e-01
0.133,29,8.50, 7068.0,0.128,-1.3069e+00
0.133,29,9.50, 5700.0,0.150,-1.3848e+00
0.133,29,10.50, 4521.0,0.187,-1.3173e+00
0.133,29,11.50, 3791.0,0.209,-6.4161e-01
0.133,29,12.50, 2933.0,0.238,3.2752e-01
0.133,29,13.50, 2246.0,0.219,7.2458e-01
0.133,29,14.50, 1754.0,0.193,1.0294e+00
0.133,29,15.50, 1375.0,0.169,8.5642e-01
0.133,30,5.50, 13109.0,0.021,-6.5818e-01
0.133,30,6.50, 11395.0,0.052,-1.2827e+00
0.133,30,7.50, 8766.0,0.083,-1.6760e+00
0.133,30,8.50, 6880.0,0.113,-1.6912e+00
0.133,30,9.50, 5391.0,0.128,-1.7966e+00
0.133,30,10.50, 4593.0,0.146,-8.4023e-01
0.133,30,11.50, 3858.0,0.154,-3.1498e-01
0.133,30,12.50, 2922.0,0.159,-6.3275e-01
0.133,30,13.50, 2227.0,0.151,3.2422e-01
0.133,30,14.50, 1769.0,0.118,4.4992e-01
0.133,30,15.50, 1387.0,0.073,1.0820e+00
0.133,31,5.50, 13923.0,0.014,-9.5049e-01
0.133,31,6.50, 11532.0,0.043,-1.7591e+00
0.133,31,7.50, 8028.0,0.068,-1.7759e+00
0.133,31,8.50, 6901.0,0.084,-1.6759e+00
0.133,31,9.50, 5720.0,0.103,-1.3594e+00
0.133,31,10.50, 4705.0,0.109,-1.1177e+00
0.133,31,11.50, 3623.0,0.118,-6.9603e-01
0.133,31,12.50, 2803.0,0.110,1.9165e-02
0.133,31,13.50, 2478.0,0.086,5.0227e-01
0.133,31,14.50, 1826.0,0.067,9.6961e-01
0.133,31,15.50, 1488.0,0.047,1.2178e+00
0.133,32,5.50, 14448.0,0.017,-1.0460e+00
0.133,32,6.50, 10729.0,0.034,-1.8823e+00
0.133,32,7.50, 8470.0,0.054,-1.3977e+00
0.133,32,8.50, 7648.0,0.069,-1.3794e+00
0.133,32,9.50, 5904.0,0.087,-6.9578e-01
0.133,32,10.50, 4869.0,0.093,-5.1480e-01
0.133,32,11.50, 3722.0,0.078,-1.6075e-01
0.133,32,12.50, 3143.0,0.067,6.8365e-02
0.133,32,13.50, 2514.0,0.048,1.0697e+00
0.133,32,14.50, 1989.0,0.027,1.2605e+00
0.133,32,15.50, 1572.0,-0.011,1.3031e+00
0.133,33,5.50, 13657.0,0.006,-5.1559e-01
0.133,33,6.50, 10243.0,0.024,-1.8992e+00
0.133,33,7.50, 8694.0,0.040,-1.4520e+00
0.133,33,8.50, 7247.0,0.051,-1.4763e+00
0.133,33,9.50, 5823.0,0.063,-6.9294e-01
0.133,33,10.50, 4672.0,0.065,-4.3413e-01
0.133,33,11.50, 3646.0,0.054,-1.3790e-01
0.133,33,12.50, 3293.0,0.061,9.4966e-01
0.133,33,13.50, 2647.0,0.025,1.2780e+00
0.133,33,14.50, 1987.0,-0.004,1.4955e+00
0.133,33,15.50, 1686.0,-0.025,1.1017e+00
0.133,34,5.50, 13431.0,0.007,-1.0270e+00
0.133,34,6.50, 10351.0,0.025,-1.8567e+00
0.133,34,7.50, 9475.0,0.036,-1.3630e+00
0.133,34,8.50, 6912.0,0.033,-9.0624e-01
0.133,34,9.50, 5863.0,0.038,-3.7180e-02
0.133,34,10.50, 4698.0,0.044,1.5339e-01
0.133,34,11.50, 3858.0,0.036,6.0678e-01
0.133,34,12.50, 3035.0,0.021,8.6617e-01
0.133,34,13.50, 2516.0,0.002,1.4331e+00
0.133,34,14.50, 2183.0,-0.038,1.2598e+00
0.133,34,15.50, 1675.0,-0.052,1.2543e+00
