t,phi,R,N,Zmean,vZ_mean
0.000,8,12.50, 3144.0,-0.008,-6.3415e-02
0.000,8,13.50, 2507.0,0.000,2.4000e-01
0.000,8,14.50, 1983.0,0.002,-1.0712e-01
0.000,8,15.50, 1547.0,-0.015,-1.8324e-03
0.000,9,5.50, 13428.0,-0.002,1.7103e-02
0.000,9,6.50, 11377.0,0.001,-2.1396e-01
0.000,9,7.50, 9232.0,0.003,-2.3352e-01
0.000,9,8.50, 7428.0,-0.002,1.2090e-01
0.000,9,9.50, 6117.0,-0.005,-1.6233e-01
0.000,9,10.50, 4926.0,-0.003,7.2253e-02
0.000,9,11.50, 3894.0,0.001,-1.1552e-01
0.000,9,12.50, 3137.0,0.004,-1.2037e-01
0.000,9,13.50, 2516.0,0.002,1.1268e-01
0.000,9,14.50, 1990.0,0.005,-8.3449e-02
0.000,9,15.50, 1568.0,-0.003,1.4204e-01
0.000,10,5.50, 13552.0,-0.003,-1.7452e-01
0.000,10,6.50, 11247.0,0.000,-1.0847e-01
0.000,10,7.50, 9045.0,-0.001,-3.1678e-02
0.000,10,8.50, 7387.0,-0.004,5.8503e-03
0.000,10,9.50, 6130.0,0.001,-5.3493e-02
0.000,10,10.50, 4848.0,-0.007,-2.5174e-01
0.000,10,11.50, 3959.0,-0.001,-2.5776e-01
0.000,10,12.50, 3093.0,0.007,4.3330e-01
0.000,10,13.50, 2531.0,-0.007,1.3825e-01
0.000,10,14.50, 1972.0,-0.001,-8.2914e-02
0.000,10,15.50, 1557.0,-0.005,-2.2615e-01
0.000,11,5.50, 13409.0,0.001,-1.0701e-01
0.000,11,6.50, 11218.0,0.001,6.5946e-02
0.000,11,7.50, 9127.0,-0.002,6.6450e-02
0.000,11,8.50, 7514.0,-0.003,6.1046e-03
0.000,11,9.50, 6082.0,-0.000,7.8159e-02
0.000,11,10.50, 5036.0,0.001,1.3321e-01
0.000,11,11.50, 3907.0,0.003,1.0815e-01
0.000,11,12.50, 3084.0,0.006,-1.6503e-01
0.000,11,13.50, 2486.0,0.000,-3.0435e-01
0.000,11,14.50, 1933.0,0.004,2.0686e-01
0.000,11,15.50, 1561.0,0.001,-1.0932e-01
0.000,12,5.50, 13415.0,0.002,-5.8515e-02
0.000,12,6.50, 11211.0,0.001,2.2100e-03
0.000,12,7.50, 9242.0,0.003,-6.9407e-02
0.000,12,8.50, 7592.0,0.001,-3.8704e-02
0.000,12,9.50, 5976.0,-0.001,2.3213e-01
0.000,12,10.50, 4902.0,-0.001,3.5364e-01
0.000,12,11.50, 3993.0,0.008,1.5753e-01
0.000,12,12.50, 3158.0,-0.004,2.9177e-01
0.000,12,13.50, 2472.0,0.001,9.1215e-02
0.000,12,14.50, 1996.0,-0.006,-1.2785e-01
0.000,12,15.50, 1522.0,0.001,-1.3190e-01
0.000,13,5.50, 13416.0,-0.002,-8.7720e-02
0.000,13,6.50, 11296.0,0.001,-1.4810e-01
0.000,13,7.50, 9139.0,0.001,3.4810e-02
0.000,13,8.50, 7495.0,0.001,2.2820e-01
0.000,13,9.50, 5987.0,0.005,-1.5174e-01
0.000,13,10.50, 4980.0,-0.001,-1.3719e-01
0.000,13,11.50, 3858.0,-0.004,1.9357e-01
0.000,13,12.50, 3230.0,0.002,1.9715e-01
0.000,13,13.50, 2503.0,0.002,1.0727e-01
0.000,13,14.50, 2030.0,-0.003,-4.4654e-03
0.000,13,15.50, 1516.0,0.008,-1.1940e-02
0.000,14,5.50, 13626.0,-0.002,-9.6248e-02
0.000,14,6.50, 11258.0,-0.001,9.9748e-03
0.000,14,7.50, 9222.0,-0.001,1.4974e-01
0.000,14,8.50, 7487.0,-0.002,-4.1592e-02
0.000,14,9.50, 6047.0,0.002,2.0441e-01
0.000,14,10.50, 4971.0,-0.001,1.5578e-02
0.000,14,11.50, 3972.0,0.002,2.0827e-01
0.000,14,12.50, 3089.0,0.001,1.5242e-01
0.000,14,13.50, 2508.0,0.006,-2.9186e-01
0.000,14,14.50, 1950.0,0.004,-1.6590e-02
0.000,14,15.50, 1476.0,-0.009,-3.3321e-01
0.000,15,5.50, 13612.0,0.003,2.2373e-01
0.000,15,6.50, 11162.0,-0.002,3.3585e-02
0.000,15,7.50, 9329.0,-0.002,2.2814e-02
0.000,15,8.50, 7502.0,-0.002,3.8095e-02
0.000,15,9.50, 6163.0,-0.002,1.2903e-01
0.000,15,10.50, 4860.0,0.004,3.3454e-01
0.000,15,11.50, 3979.0,-0.004,6.0147e-02
0.000,15,12.50, 3131.0,-0.001,-2.4941e-02
0.000,15,13.50, 2472.0,-0.000,1.8201e-01
0.000,15,14.50, 1967.0,-0.009,9.0679e-02
0.000,15,15.50, 1565.0,-0.001,-1.9302e-01
0.000,16,5.50, 13539.0,-0.001,2.3042e-01
0.000,16,6.50, 11317.0,0.003,5.9718e-02
0.000,16,7.50, 9216.0,-0.000,1.0188e-01
0.000,16,8.50, 7324.0,0.000,1.5675e-02
0.000,16,9.50, 6125.0,0.004,1.2293e-02
0.000,16,10.50, 4827.0,0.003,-1.9031e-01
0.000,16,11.50, 4003.0,0.004,-2.7713e-02
0.000,16,12.50, 3119.0,0.004,7.2762e-02
0.000,16,13.50, 2538.0,-0.004,-3.6732e-02
0.000,16,14.50, 1929.0,-0.005,1.4439e-01
0.000,16,15.50, 1551.0,0.000,1.8205e-01
0.000,17,5.50, 13712.0,-0.004,6.6667e-02
0.000,17,6.50, 11389.0,0.001,-9.7032e-02
0.000,17,7.50, 9231.0,-0.000,-1.6174e-01
0.000,17,8.50, 7447.0,-0.002,-6.1622e-02
0.000,17,9.50, 5973.0,0.001,-1.6645e-01
0.000,17,10.50, 4877.0,0.004,-7.4948e-02
0.000,17,11.50, 3883.0,0.004,-1.3121e-01
0.000,17,12.50, 3114.0,0.001,-1.5258e-01
0.000,17,13.50, 2476.0,-0.001,1.1147e-01
0.000,17,14.50, 1978.0,0.001,-1.2934e-01
0.000,17,15.50, 1566.0,-0.005,2.8455e-01
0.000,18,5.50, 13498.0,0.003,-1.3637e-02
0.000,18,6.50, 11218.0,-0.000,2.2471e-01
0.000,18,7.50, 9052.0,-0.001,-9.0236e-02
0.000,18,8.50, 7494.0,0.001,3.0109e-02
0.000,18,9.50, 5793.0,-0.003,3.6320e-01
0.000,18,10.50, 5015.0,-0.005,-1.1344e-01
0.000,18,11.50, 3945.0,-0.006,-1.5681e-01
0.000,18,12.50, 3213.0,-0.001,-7.5673e-02
0.000,18,13.50, 2486.0,0.006,-1.7256e-01
0.000,18,14.50, 1931.0,0.010,5.1529e-02
0.000,18,15.50, 1520.0,-0.006,1.3255e-01
0.000,19,5.50, 13355.0,-0.003,-7.5165e-02
0.000,19,6.50, 11269.0,-0.002,-6.0825e-02
0.000,19,7.50, 9219.0,0.002,9.3793e-02
0.000,19,8.50, 7489.0,0.002,1.6397e-01
0.000,19,9.50, 6092.0,0.006,5.5354e-02
0.000,19,10.50, 4837.0,-0.000,-1.4302e-01
0.000,19,11.50, 3933.0,-0.005,6.5823e-02
0.000,19,12.50, 3124.0,-0.003,1.0018e-01
0.000,19,13.50, 2562.0,-0.001,9.8636e-02
0.000,19,14.50, 1964.0,0.010,-3.6403e-02
0.000,19,15.50, 1579.0,-0.002,-2.4558e-01
0.000,20,5.50, 13536.0,-0.000,9.3249e-02
0.000,20,6.50, 11259.0,0.001,-4.8484e-03
0.000,20,7.50, 9231.0,0.002,-7.9712e-02
0.000,20,8.50, 7430.0,0.005,-5.4485e-04
0.000,20,9.50, 6041.0,0.004,3.9733e-02
0.000,20,10.50, 5001.0,0.002,-5.6895e-02
0.000,20,11.50, 3984.0,-0.009,-1.3667e-02
0.000,20,12.50, 3227.0,-0.004,2.9218e-01
0.000,20,13.50, 2469.0,-0.005,-1.1932e-01
0.000,20,14.50, 2008.0,-0.006,1.0821e-01
0.000,20,15.50, 1580.0,-0.004,-5.9873e-03
0.000,21,5.50, 13474.0,-0.004,1.8445e-01
0.000,21,6.50, 11265.0,-0.002,6.6715e-02
0.000,21,7.50, 9137.0,-0.000,8.1358e-03
0.000,21,8.50, 7348.0,0.004,-8.4090e-02
0.000,21,9.50, 6203.0,-0.002,5.3783e-02
0.000,21,10.50, 4880.0,-0.003,-8.7668e-02
0.000,21,11.50, 3909.0,0.001,1.6693e-01
0.000,21,12.50, 3114.0,0.007,2.9564e-02
0.000,21,13.50, 2418.0,-0.006,-3.8494e-02
0.000,21,14.50, 1977.0,0.012,9.9118e-02
0.000,21,15.50, 1547.0,-0.010,-1.1434e-01
0.000,22,5.50, 13517.0,0.001,5.5857e-02
0.000,22,6.50, 11294.0,-0.002,-1.2873e-01
0.000,22,7.50, 9192.0,-0.004,1.5383e-03
